2021-07-27,Crocodile Dundee,1986,7,no
2021-07-28,Words Bubble Up Like Soda Pop,2020,6.5,yes
2021-07-29,F9: The Fast Saga,2021,5.5,yes
2021-08-01,Space Jam: A New Legacy,2021,5,yes
2021-08-01,Crocodile Dundee II,1988,6.5,no
2021-08-02,The Dawn Wall,2017,7,yes
2021-08-02,Jungle Cruise,2021,6.5,yes
2021-08-02,Mortal Kombat,2021,7,yes
2021-08-03,American Psycho,2000,7.5,yes
2021-08-04,Abominable,2019,7,yes
2021-08-08,The Suicide Squad,2021,6,yes
2021-08-12,Hot Shots! Part Deux,1993,5,no
2021-08-12,Stripes,1981,5.5,no
2021-08-16,Divergent,2014,6,no
2021-08-17,The Divergent Series: Insurgent,2015,4.5,no
2021-08-17,Allegiant,2016,4.5,no
2021-08-19,In Time,2011,7,no
2021-08-22,Tenet,2020,9,yes
2021-08-24,The Witcher: Nightmare of the Wolf,2021,7,yes
2021-08-26,Hidden Figures,2016,7.5,no
2021-08-26,6 Underground,2019,7,no
2021-08-27,Crazy Rich Asians,2018,7,no
2021-08-28,He's All That,2021,4.5,yes
2021-08-30,SAS: Red Notice,2021,4,yes
2021-09-03,Good Will Hunting,1997,8.5,no
2021-09-03,Afterlife of the Party,2021,7,yes
2021-09-05,Chaos Walking,2021,7,yes
2021-09-12,Kate,2021,6.5,yes
2021-09-22,The Miracle Season,2018,4,yes
2021-09-26,Free Guy,2021,6,yes
2021-09-30,1917,2019,6,no
2021-10-02,The Babysitter,2017,5,yes
2021-10-03,The Last Mercenary,2021,4.5,yes
2021-10-07,Jack Reacher: Never Go Back,2016,5.5,no
2021-10-17,Dune: Part One,2021,8,yes
2021-10-20,Night Teeth,2021,6,yes
2021-10-30,Army of Thieves,2021,7,yes
2021-10-30,Wanted,2008,7.5,no
2021-11-06,Love Hard,2021,5.5,yes
2021-11-10,Shang-Chi and the Legend of the Ten Rings,2021,6,yes
2021-11-11,No Time to Die,2021,8,yes
2021-11-12,Red Notice,2021,6.5,yes
2021-11-13,The Talented Mr. Ripley,1999,7,yes
2021-11-13,Another Round,2020,6.5,yes
2021-11-13,Finch,2021,6,yes
2021-11-14,Little Women,2019,7.5,yes
2021-11-16,Cook Up a Storm,2017,5,yes
2021-11-16,Interstellar,2014,9,no
2021-11-16,My Best Friend's Wedding,2016,5,yes
2021-11-17,Elysium,2013,5.5,no
2021-11-21,Eternals,2021,6.5,yes
2021-11-23,Venom: Let There Be Carnage,2021,5,yes
2021-11-28,A Boy Called Christmas,2021,6,yes
2021-11-29,Reminiscence,2021,7.5,yes
2021-12-01,Think Like a Man,2012,5,yes
2021-12-05,Rio 2,2014,5,yes
2021-12-25,A Castle for Christmas,2021,4.5,yes
2021-12-26,Encanto,2021,7.5,yes
2021-12-26,Don't Look Up,2021,6,yes
2022-01-08,Spider-Man: No Way Home,2021,8,yes
2022-01-10,The Accountant,2016,7.5,no
2022-01-16,Fantastic Beasts and Where to Find Them,2016,7,no
2022-01-17,Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,no
2022-01-18,Mile 22,2018,7,yes
2022-01-26,Snowden,2016,8,no
2022-01-27,Up in the Air,2009,7,no
2022-01-27,Star Wars: Episode VII - The Force Awakens,2015,6,no
2022-01-28,Star Wars: Episode VIII - The Last Jedi,2017,5.5,no
2022-01-29,Star Wars: Episode IX - The Rise of Skywalker,2019,6,no
2022-01-30,The Aviator,2004,7.5,yes
2022-02-03,Emma.,2020,6.5,yes
2022-02-05,Inheritance,2020,5.5,yes
2022-02-06,Moneyball,2011,7,no
